,DC_Tilburg,Store_1004,Store_1005,Store_1007,Store_1015,Store_1018,Store_1019,Store_1021,Store_1029,Store_1041,Store_1045,Store_1049,Store_1050,Store_1052,Store_1053,Store_1058,Store_1071,Store_1074,Store_1077,Store_1082,Store_1092,Store_1094,Store_1095,Store_1097,Store_1100,Store_1102,Store_1128,Store_1137,Store_1142,Store_1143,Store_1153,Store_1160,Store_1165,Store_1169,Store_1174,Store_1175,Store_1178,Store_1179,Store_1187,Store_1188,Store_1189,Store_1191,Store_1192,Store_1194,Store_1198,Store_1199,Store_1205,Store_1208,Store_1219,Store_1222
Store_1153,120.7002,126.9851,141.7248,147.3079,138.81820000000002,52.0238,19.1643,135.0403,160.0019,86.49010000000001,145.42579999999998,122.43130000000001,124.356,33.1454,84.4008,22.637,143.2788,31.7778,83.4627,80.8267,158.2459,159.656,128.35389999999998,121.1233,124.426,171.0401,118.92360000000001,71.99810000000001,168.4687,141.8967,0.0,195.72060000000002,109.2638,27.7636,144.6707,69.658,133.33620000000002,93.4083,88.0965,90.31960000000001,123.2115,84.44919999999999,88.37110000000001,5.1193,127.1935,47.1455,118.2335,86.3401,125.9352,139.55429999999998
Store_1160,165.2099,158.8617,140.9623,136.8065,226.65079999999998,218.8016,197.38739999999999,227.3769,132.7895,170.72379999999998,140.27439999999999,156.8175,189.35160000000002,221.214,173.8665,209.8799,151.8616,210.0009,171.5203,171.6646,210.46620000000001,211.8763,155.9725,158.8448,183.69,33.4039,178.006,190.507,167.29160000000002,150.4795,196.149,0.0,196.4063,216.43789999999998,145.832,222.9306,225.31789999999998,184.0313,197.0576,177.229,161.6915,194.0404,178.0105,192.96679999999998,186.3288,216.467,168.7306,169.9099,187.9304,198.68970000000002
Store_1165,47.8745,54.1594,68.8991,70.1028,42.4222,68.7692,96.8095,43.148300000000006,74.4588,25.5221,72.60010000000001,49.605599999999995,21.140700000000002,116.19489999999999,26.5338,111.96589999999999,61.0978,104.3334,27.3427,36.3151,52.055,53.4651,55.5282,48.297599999999996,27.171799999999998,172.41310000000001,23.637900000000002,34.7386,62.277800000000006,62.584900000000005,110.651,197.0936,0.0,118.5239,67.4657,64.0068,41.089400000000005,20.7898,30.1373,20.9539,50.3859,20.872400000000003,29.8367,113.7368,20.9709,66.4346,35.6104,28.2649,23.887,23.860599999999998
Store_1169,128.0883,134.37320000000003,149.1128,154.6959,146.2063,59.4119,22.489099999999997,142.42839999999998,154.6725,93.8781,152.8139,129.8194,131.744,4.532100000000001,91.7889,7.057300000000001,150.6668,15.084,90.8507,88.2148,165.63389999999998,167.04410000000001,135.742,128.5113,131.8141,191.22979999999998,126.3117,79.3862,175.8568,149.2848,27.6922,215.9102,116.6519,0.0,152.0588,77.04610000000001,140.7243,100.79639999999999,95.4846,97.7076,130.5996,91.8372,95.75919999999999,30.777900000000002,134.5816,54.5335,125.6215,93.72810000000001,133.3233,146.9424
Store_1174,33.3046,18.8997,3.1561,4.206,91.4131,111.3841,130.8312,92.1392,5.4299,58.2399,3.8506,24.9123,46.2049,150.2167,61.4594,145.98760000000001,8.7149,138.3551,60.088699999999996,74.0638,67.3195,68.7296,17.6738,26.9396,40.5434,120.11510000000001,45.544599999999996,83.0895,33.3091,7.3328999999999995,144.6728,144.7955,70.9692,152.5457,0.0,115.51310000000001,90.08030000000001,58.594199999999994,89.6401,58.758300000000006,24.7623,75.20530000000001,70.593,162.31789999999998,51.0912,109.0495,36.8254,58.0391,44.783699999999996,63.452
Store_1175,93.3082,99.5931,114.3328,119.9159,70.6702,20.3745,55.590300000000006,66.8924,119.8925,58.7326,118.0338,95.0393,83.8192,74.9757,56.6434,70.7467,115.88680000000001,63.1141,55.7053,62.236,103.5398,97.725,100.9619,93.7313,97.034,199.68329999999997,91.53160000000001,44.5462,133.5586,114.5047,69.43180000000001,224.3638,65.7945,77.3047,117.2788,0.0,65.1883,65.6509,37.2427,62.5621,95.81960000000001,47.4981,52.1,72.5176,83.6493,21.8659,90.8415,58.582699999999996,86.5655,81.20819999999999
Store_1178,66.8445,75.8537,93.1217,93.164,1.7221,84.9546,120.1703,2.9307,95.66189999999999,66.63,93.80330000000001,71.3064,47.249199999999995,139.55579999999998,67.6417,135.32670000000002,84.159,127.6942,68.45060000000001,77.423,43.1757,37.360800000000005,73.1773,69.99839999999999,51.9665,201.5435,49.2399,63.4672,73.1945,85.6461,134.0119,226.224,41.5285,141.88479999999998,90.5269,65.0794,0.0,61.8977,49.758900000000004,62.061800000000005,69.35589999999999,55.9345,70.94460000000001,137.0976,40.840900000000005,86.4459,61.2124,69.3728,46.9482,32.2846
Store_1179,35.0123,41.2972,56.0369,61.62,63.0101,60.0622,79.5093,63.7362,61.596599999999995,8.2219,59.7379,36.7434,34.2289,98.8948,9.233600000000001,94.6657,57.590900000000005,87.0332,10.0426,19.0149,68.11880000000001,69.529,42.666,35.4354,34.299,159.55089999999998,28.796599999999998,31.6794,78.3417,56.208800000000004,93.3508,184.2314,19.896099999999997,101.2237,58.9829,64.1031,61.6772,0.0,28.9878,3.6536999999999997,37.5237,20.1007,12.5366,96.43660000000001,37.0664,57.727599999999995,32.5456,10.9647,35.8082,44.4485
Store_1187,66.004,72.28880000000001,87.0285,92.61160000000001,54.8149,43.4369,75.12910000000001,51.037,92.5882,25.462,90.7295,67.735,47.6304,94.5146,24.6478,90.2856,88.5825,82.653,28.401,34.9317,78.5446,77.6555,73.65769999999999,66.427,53.6614,172.379,50.1276,13.6985,88.7674,87.20039999999999,88.9707,197.0595,29.605700000000002,96.84360000000001,89.9745,36.5929,49.3329,28.6311,0.0,25.5424,68.5153,11.309299999999999,24.7957,92.0564,47.4605,41.102199999999996,63.5372,31.2784,50.3767,49.632400000000004
Store_1188,34.882,41.1668,55.9065,61.489599999999996,62.8797,57.415800000000004,76.86280000000001,63.6058,61.4662,5.5755,59.6076,36.613,34.0985,96.2483,6.5872,92.0193,57.4605,84.38669999999999,7.396100000000001,16.3685,67.9884,69.3986,42.5357,35.305,34.1686,152.1204,28.6662,29.033,78.21130000000001,56.0785,90.70439999999999,176.80089999999998,19.765700000000002,98.57730000000001,58.8525,61.4566,61.546800000000005,3.9101999999999997,26.3414,0.0,37.3933,17.4542,9.8901,93.79010000000001,36.936,55.0811,32.4152,8.318299999999999,35.677800000000005,44.3181
